episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
307,-68.51,-91.02,-46.00,2,97,0,1,11.89,1.1,0.5
308,-74.58,-99.55,-49.60,4,92,3,1,11.23,0.8,0.3
309,-72.11,-92.42,-51.80,8,86,3,3,5.03,1.1,0.3
310,-72.70,-89.80,-55.60,7,85,6,2,3.84,1.1,0.1
311,-75.78,-95.57,-56.00,5,90,3,2,5.25,1.0,0.3
312,-70.74,-92.88,-48.60,2,94,2,2,8.50,1.0,0.5
313,-73.31,-93.23,-53.40,3,94,2,1,7.68,1.0,0.5
314,-74.61,-97.21,-52.00,5,89,6,0,9.60,1.0,0.4
315,-71.71,-94.22,-49.20,7,91,2,0,10.11,1.1,0.4
316,-70.72,-94.05,-47.40,2,97,0,1,16.08,1.1,0.1
317,-80.63,-96.25,-65.00,9,85,3,3,0.96,1.0,0.2
318,-71.59,-89.78,-53.40,5,93,1,1,11.06,1.1,0.5
319,-72.53,-95.07,-50.00,6,91,2,1,3.79,1.0,0.3
320,-81.06,-98.32,-63.80,13,84,1,2,4.03,1.0,0.1
321,-75.68,-99.76,-51.60,5,93,2,0,8.92,0.9,0.2
322,-73.37,-94.54,-52.20,6,92,2,0,8.28,1.1,0.1
323,-73.23,-96.26,-50.20,4,91,4,1,7.73,1.0,0.5
324,-72.04,-90.28,-53.80,7,89,2,2,3.86,1.1,0.4
325,-68.70,-85.59,-51.80,8,87,4,1,6.21,1.2,0.4
326,-78.47,-95.53,-61.40,9,86,3,2,3.32,1.0,0.3
327,-75.33,-92.87,-57.80,9,79,6,6,3.40,1.1,0.3
328,-72.64,-93.29,-52.00,4,91,1,4,6.10,1.1,0.2
329,-74.42,-97.25,-51.60,3,94,2,1,13.20,0.8,0.5
330,-75.36,-98.31,-52.40,6,91,3,0,5.87,0.8,0.4
331,-69.99,-82.17,-57.80,11,78,7,4,2.80,1.1,0.5
332,-77.92,-98.44,-57.40,4,93,2,1,5.85,1.0,0.2
333,-72.37,-89.94,-54.80,1,93,4,2,3.00,1.2,0.1
334,-78.49,-99.77,-57.20,4,93,2,1,7.69,0.8,0.2
335,-74.77,-86.34,-63.20,14,75,8,3,1.81,1.1,0.4
336,-74.28,-95.96,-52.60,1,95,1,3,8.16,1.0,0.2
337,-76.54,-89.67,-63.40,15,76,7,2,0.66,1.0,0.4
338,-73.38,-96.35,-50.40,3,96,1,0,8.14,1.1,0.2
339,-74.98,-93.57,-56.40,4,91,3,2,6.72,1.1,0.2
340,-74.86,-99.92,-49.80,3,92,4,1,10.73,0.8,0.2
341,-74.46,-99.91,-49.00,1,95,3,1,8.45,0.8,0.2
342,-80.11,-99.82,-60.40,8,84,6,2,2.42,0.9,0.1
343,-73.82,-99.24,-48.40,3,97,0,0,10.19,1.0,0.3
344,-73.79,-96.77,-50.80,3,92,3,2,7.03,1.0,0.4
345,-73.60,-96.20,-51.00,6,89,3,2,7.47,1.0,0.2
346,-75.46,-98.73,-52.20,3,93,4,0,8.77,0.8,0.5
347,-77.25,-99.51,-55.00,6,88,4,2,6.26,0.8,0.3
348,-77.04,-96.48,-57.60,5,86,6,3,3.47,0.9,0.4
349,-73.77,-99.55,-48.00,3,95,1,1,6.09,0.8,0.3
350,-70.53,-89.87,-51.20,3,93,3,1,7.38,1.0,0.5
351,-77.29,-97.58,-57.00,9,84,5,2,1.96,1.0,0.1
352,-76.38,-92.76,-60.00,8,80,6,6,2.31,0.9,0.4
353,-74.43,-99.06,-49.80,6,90,4,0,7.79,1.0,0.2
354,-74.74,-97.67,-51.80,2,88,9,1,6.99,0.9,0.3
355,-72.48,-97.77,-47.20,1,96,3,0,12.36,1.0,0.5
356,-71.97,-85.53,-58.40,7,85,7,1,2.02,1.2,0.5
357,-70.59,-87.98,-53.20,7,89,1,3,3.19,1.1,0.3
