episode, reward, reward_tard, reward_setup 
765,-69.42,-96.64,-42.20
766,-60.82,-86.03,-35.60
767,-62.12,-84.24,-40.00
768,-64.85,-92.10,-37.60
769,-60.34,-81.49,-39.20
770,-64.09,-91.97,-36.20
771,-62.49,-81.38,-43.60
772,-68.44,-96.47,-40.40
773,-60.74,-86.48,-35.00
774,-62.36,-90.53,-34.20
775,-57.55,-75.71,-39.40
776,-66.24,-93.69,-38.80
777,-61.64,-84.07,-39.20
778,-64.97,-92.53,-37.40
779,-59.19,-82.98,-35.40
780,-61.00,-82.60,-39.40
781,-64.04,-92.08,-36.00
782,-51.55,-71.11,-32.00
783,-68.40,-91.21,-45.60
784,-61.05,-80.51,-41.60
785,-57.43,-74.06,-40.80
786,-57.10,-81.00,-33.20
787,-48.15,-57.50,-38.80
788,-68.47,-96.94,-40.00
789,-59.47,-77.75,-41.20
790,-63.94,-89.89,-38.00
791,-62.49,-78.78,-46.20
792,-63.96,-89.92,-38.00
793,-59.82,-92.24,-27.40
794,-56.07,-73.95,-38.20
795,-67.74,-93.88,-41.60
796,-67.95,-94.09,-41.80
797,-66.39,-92.77,-40.00
798,-62.58,-85.97,-39.20
799,-55.63,-74.27,-37.00
800,-59.02,-79.24,-38.80
801,-55.49,-76.98,-34.00
802,-57.20,-79.80,-34.60
803,-55.29,-78.79,-31.80
804,-64.24,-90.29,-38.20
805,-61.88,-82.36,-41.40
806,-67.22,-97.05,-37.40
807,-63.59,-90.99,-36.20
808,-66.70,-98.21,-35.20
809,-61.58,-84.77,-38.40
810,-57.18,-77.36,-37.00
811,-65.11,-98.01,-32.20
812,-64.79,-91.39,-38.20
813,-65.76,-93.51,-38.00
814,-63.36,-87.13,-39.60
815,-59.47,-76.95,-42.00
816,-66.39,-90.19,-42.60
817,-55.64,-68.27,-43.00
